votos_tipo,,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO,POSITIVO
cargo_tag,,GB,GB,GB,GB,IN,IN,IN,IN,IN,PR,PR,PR,PR,PR
agrupacion_id,,132,132,135,134,132,132,134,134,135,134,134,135,132,132
agrupacion_nombre,,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,UNION POR LA PATRIA,UNION POR LA PATRIA,LA LIBERTAD AVANZA,UNION POR LA PATRIA,UNION POR LA PATRIA,LA LIBERTAD AVANZA,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO
lista_numero,,3603,3602,3612,3604,3603,3602,3604,3631,3612,3005,3006,3016,3008,3007
circuito_id,mesa_id,,,,,,,,,,,,,,
01013,9,63,43,36,71,0,0,0,0,0,0,0,0,0,0
01013,10,60,32,43,85,0,0,0,0,0,0,0,0,0,0
01013,11,76,41,37,63,0,0,0,0,0,0,0,0,0,0
01013,12,77,47,40,74,0,0,0,0,0,0,0,0,0,0
01013,13,63,60,49,82,0,0,0,0,0,0,0,0,0,0
01013,14,62,53,49,73,0,0,0,0,0,0,0,0,0,0
01013,15,85,50,43,72,0,0,0,0,0,0,0,0,0,0
01013,16,59,44,44,80,0,0,0,0,0,0,0,0,0,0
01013,17,79,54,41,59,0,0,0,0,0,0,0,0,0,0
01013,18,69,46,41,76,0,0,0,0,0,0,0,0,0,0
01013,19,54,50,45,50,0,0,0,0,0,0,0,0,0,0
01013,20,72,41,42,72,0,0,0,0,0,0,0,0,0,0
01013,21,57,61,51,68,0,0,0,0,0,0,0,0,0,0
01013,22,80,37,46,69,0,0,0,0,0,0,0,0,0,0
01013,23,47,37,3,96,0,0,0,0,0,0,0,0,0,0
01013,24,80,64,49,0,0,0,0,0,0,0,0,0,0,0
01013,25,78,47,49,69,0,0,0,0,0,0,0,0,0,0
01013,26,79,47,53,54,0,0,0,0,0,0,0,0,0,0
01013,27,70,52,47,66,0,0,0,0,0,0,0,0,0,0
01013,28,72,42,43,64,0,0,0,0,0,0,0,0,0,0
01013,29,75,42,42,85,0,0,0,0,0,0,0,0,0,0
01013,30,61,39,48,81,0,0,0,0,0,0,0,0,0,0
01013,31,60,33,56,67,0,0,0,0,0,0,0,0,0,0
01013,32,49,41,43,94,0,0,0,0,0,0,0,0,0,0
01013,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01013,34,59,35,43,74,0,0,0,0,0,0,0,0,0,0
