año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,PASO,NORMAL,Buenos Aires,Diputado Nacional,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,564413,UCR
2011,PASO,NORMAL,Buenos Aires,Presidente,ALIANZA FRENTE PARA LA VICTORIA,2504967,PERON
2011,PASO,NORMAL,Buenos Aires,Presidente,ALIANZA FRENTE POPULAR,688568,OTROS
2011,PASO,NORMAL,Buenos Aires,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,565392,UCR
2011,PASO,NORMAL,Catamarca,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,26961,PERON
2011,PASO,NORMAL,Catamarca,Diputado Nacional,ALIANZA FRENTE CIVICO Y SOCIAL,11074,SOCIALISTA
2011,PASO,NORMAL,Catamarca,Diputado Nacional,DEMOCRATA CRISTIANO,2259,OTROS
2011,PASO,NORMAL,Catamarca,Presidente,ALIANZA FRENTE PARA LA VICTORIA,35770,PERON
2011,PASO,NORMAL,Catamarca,Presidente,ALIANZA FRENTE POPULAR,3290,OTROS
2011,PASO,NORMAL,Catamarca,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,12052,UCR
2011,PASO,NORMAL,Chaco,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,95568,PERON
2011,PASO,NORMAL,Chaco,Diputado Nacional,ALIANZA UNION PARA EL DESARROLLO SOCIAL,43072,OTROS
2011,PASO,NORMAL,Chaco,Diputado Nacional,POPULAR DE LA RECONSTRUCCION,7097,OTROS
2011,PASO,NORMAL,Chaco,Presidente,ALIANZA FRENTE PARA LA VICTORIA,177903,PERON
2011,PASO,NORMAL,Chaco,Presidente,ALIANZA FRENTE POPULAR,21485,OTROS
2011,PASO,NORMAL,Chaco,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,65507,UCR
2011,PASO,NORMAL,Chubut,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,60144,PERON
2011,PASO,NORMAL,Chubut,Diputado Nacional,UNION CIVICA RADICAL,15986,UCR
2011,PASO,NORMAL,Chubut,Diputado Nacional,INDEPENDIENTE DEL CHUBUT,30434,OTROS
2011,PASO,NORMAL,Chubut,Presidente,ALIANZA FRENTE PARA LA VICTORIA,77939,PERON
2011,PASO,NORMAL,Chubut,Presidente,ALIANZA FRENTE POPULAR,40816,OTROS
2011,PASO,NORMAL,Chubut,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,15353,UCR
2011,PASO,NORMAL,Ciudad Autónoma De Buenos Aires,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,293833,PERON
2011,PASO,NORMAL,Ciudad Autónoma De Buenos Aires,Diputado Nacional,FRENTE AMPLIO PROGRESISTA,119006,OTROS
2011,PASO,NORMAL,Ciudad Autónoma De Buenos Aires,Diputado Nacional,ALIANZA PRO PROPUESTA REPUBLICANA,173830,OTROS
2011,PASO,NORMAL,Ciudad Autónoma De Buenos Aires,Presidente,ALIANZA FRENTE PARA LA VICTORIA,352350,PERON
2011,PASO,NORMAL,Ciudad Autónoma De Buenos Aires,Presidente,ALIANZA FRENTE POPULAR,262437,OTROS
2011,PASO,NORMAL,Ciudad Autónoma De Buenos Aires,Presidente,ALIANZA FRENTE AMPLIO PROGRESISTA,169792,SOCIALISTA
2011,PASO,NORMAL,Corrientes,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,57076,PERON
2011,PASO,NORMAL,Corrientes,Diputado Nacional,ALIANZA FRENTE POPULAR,6749,OTROS
2011,PASO,NORMAL,Corrientes,Diputado Nacional,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,15309,UCR
2011,PASO,NORMAL,Corrientes,Presidente,ALIANZA FRENTE PARA LA VICTORIA,95111,PERON
2011,PASO,NORMAL,Corrientes,Presidente,ALIANZA FRENTE POPULAR,16476,OTROS
2011,PASO,NORMAL,Corrientes,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,23214,UCR
2011,PASO,NORMAL,Córdoba,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,291325,PERON
2011,PASO,NORMAL,Córdoba,Diputado Nacional,UNION CIVICA RADICAL,201985,UCR
2011,PASO,NORMAL,Córdoba,Diputado Nacional,ALIANZA FRENTE AMPLIO PROGRESISTA,138713,SOCIALISTA
2011,PASO,NORMAL,Córdoba,Presidente,ALIANZA FRENTE PARA LA VICTORIA,378263,PERON
